time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-10T00:04:57.870Z,-6.4493,129.8246,155.27,4.800,mb,,32,2.111,0.92,us,us2000b3av,2017-10-10T04:27:23.040Z,"233km NW of Saumlaki, Indonesia",earthquake,6.9,6.6,0.069,66,reviewed,us,us
2017-10-10T00:05:42.795Z,63.2182,-149.5512,0,1.500,ml,,,,0.74,ak,ak17001340,2017-10-10T00:12:08.678Z,"35km WSW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-10T00:14:45.820Z,33.491,-116.7978333,3.88,2.570,ml,87,27,0.01659,0.19,ci,ci38022200,2017-10-10T06:08:41.932Z,"8km NE of Aguanga, CA",earthquake,0.15,0.35,0.143,26,reviewed,ci,ci
2017-10-10T00:22:11.360Z,46.1991667,-122.1773333,1.21,0.420,ml,10,143,0.009415,0.1,uw,uw61339501,2017-10-10T01:43:14.790Z,"38km NNE of Amboy, Washington",earthquake,0.39,0.29,0.268,9,reviewed,uw,uw
2017-10-10T00:22:53.577Z,69.4879,-142.4477,7,1.700,ml,,,,0.85,ak,ak17001348,2017-10-10T17:21:55.615Z,"84km SSE of Kaktovik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-10-10T00:25:38.858Z,65.9735,-148.2932,0,1.700,ml,,,,0.99,ak,ak17001347,2017-10-10T00:37:32.752Z,"126km N of College, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-10T00:27:23.360Z,2.1621,97.7322,55.07,4.400,mb,,126,0.866,0.9,us,us2000b3b2,2017-10-10T08:30:08.421Z,"99km W of Onan Ganjang, Indonesia",earthquake,4,8.5,0.105,26,reviewed,us,us
2017-10-10T00:28:23.100Z,38.2575,-118.7037,10.6,1.300,ml,16,81.96,0.156,0.1616,nn,nn00608688,2017-10-10T15:01:41.340Z,"30km SSW of Hawthorne, Nevada",earthquake,,2.5,0.56,5,reviewed,nn,nn
2017-10-10T00:46:39.060Z,45.3186667,-121.685,7.12,1.430,ml,15,59,0.0243,0.19,uw,uw61339506,2017-10-10T00:57:15.700Z,"23km E of Mount Hood Village, Oregon",earthquake,0.45,0.5,0.158,10,reviewed,uw,uw
2017-10-10T00:46:51.550Z,32.9435,-115.541,7.94,1.360,ml,15,99,0.04507,0.2,ci,ci37168348,2017-10-10T01:09:05.492Z,"4km SSW of Brawley, CA",earthquake,0.34,0.6,0.197,16,reviewed,ci,ci
2017-10-10T00:47:06.580Z,32.9408333,-115.5441667,6.53,1.390,ml,17,82,0.04165,0.18,ci,ci38022208,2017-10-10T01:00:21.119Z,"4km SSW of Brawley, CA",earthquake,0.27,0.73,0.153,20,reviewed,ci,ci
2017-10-10T00:51:00.050Z,32.9391667,-115.5413333,7.27,1.690,ml,22,82,0.04097,0.2,ci,ci38022216,2017-10-10T08:53:43.907Z,"4km SSW of Brawley, CA",earthquake,0.28,0.72,0.153,26,reviewed,ci,ci
2017-10-10T00:52:23.790Z,33.5221667,-115.859,10.14,1.350,ml,34,101,0.0374,0.18,ci,ci38022224,2017-10-11T16:52:33.370Z,"7km E of North Shore, CA",earthquake,0.26,0.41,0.191,25,reviewed,ci,ci
2017-10-10T00:53:18.270Z,37.3135,-121.672,9.69,4.090,mw,243,23,0.0366,0.16,nc,nc72906781,2017-10-12T05:39:02.079Z,"14km ESE of Alum Rock, California",earthquake,0.1,0.2,,6,reviewed,nc,nc
2017-10-10T01:00:35.648Z,38.2542,-118.7169,7.7,1.800,ml,28,56.22,0.167,0.2374,nn,nn00608690,2017-10-12T04:34:02.006Z,"31km SSW of Hawthorne, Nevada",earthquake,,2.2,0.34,13,reviewed,nn,nn
2017-10-10T01:16:13.111Z,63.0966,-147.6356,3.8,1.500,ml,,,,0.83,ak,ak17001714,2017-10-10T01:23:00.953Z,"73km ESE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-10T01:24:35.290Z,42.5808333,-111.4191667,6.07,1.040,md,9,58,0.02451,0.1,uu,uu60251902,2017-10-10T16:48:54.270Z,"17km ESE of Soda Springs, Idaho",earthquake,0.54,0.87,0.081,4,reviewed,uu,uu
2017-10-10T01:27:25.794Z,36.4498,-113.8108,9.9,1.200,ml,6,216.68,0.723,0.3215,nn,nn00608698,2017-10-10T01:46:52.641Z,"45km SSE of Mesquite, Nevada",earthquake,,8.6,0.09,3,reviewed,nn,nn
2017-10-10T01:30:41.580Z,38.8079987,-122.7891693,-0.7,0.620,md,7,94,0.004792,0.1,nc,nc72906791,2017-10-10T02:03:04.049Z,"4km NW of The Geysers, California",earthquake,0.29,2.1,0.24,3,automatic,nc,nc
2017-10-10T01:50:43.430Z,59.5243,-152.8669,79.3,2.200,ml,,,,0.59,ak,ak17001721,2017-10-10T01:58:52.432Z,"64km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-10T02:04:21.350Z,33.5141667,-116.5036667,12.26,1.540,ml,58,59,0.04888,0.19,ci,ci38022248,2017-10-10T13:41:46.920Z,"16km ESE of Anza, CA",earthquake,0.21,0.35,0.205,26,reviewed,ci,ci
2017-10-10T02:04:43.350Z,45.3028333,-121.6751667,7.25,0.750,ml,7,177,0.02588,0.12,uw,uw61339576,2017-10-10T02:27:01.670Z,"24km ESE of Mount Hood Village, Oregon",earthquake,0.63,0.49,0.203,5,reviewed,uw,uw
2017-10-10T02:23:10.880Z,46.1953333,-122.1745,2.14,0.240,ml,8,148,0.02026,0.11,uw,uw61339586,2017-10-10T05:31:54.940Z,"38km NNE of Amboy, Washington",earthquake,0.58,0.61,0.243,6,reviewed,uw,uw
2017-10-10T02:24:15.150Z,62.753,-149.575,72.1,1.700,ml,,,,0.61,ak,ak17002009,2017-10-10T02:30:31.550Z,"55km NNE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T02:32:36.000Z,39.5999985,-120.3980026,-1.22,2.540,md,17,87,0.1383,0.13,nc,nc72906801,2017-10-10T03:42:15.564Z,"24km SSE of Portola, California",earthquake,0.39,8.02,0.2,16,automatic,nc,nc
2017-10-10T02:37:44.532Z,60.8775,-151.395,54.6,2.200,ml,,,,0.5,ak,ak17002016,2017-10-10T14:29:03.113Z,"21km NNW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-10-10T02:37:52.384Z,39.597,-120.4163,6.6,1.300,ml,18,120.25,0.151,0.1436,nn,nn00608708,2017-10-10T02:56:41.110Z,"24km S of Portola, California",earthquake,,4.7,0.44,10,reviewed,nn,nn
2017-10-10T02:39:44.016Z,65.0003,-147.3682,2.6,1.400,ml,,,,0.65,ak,ak17002021,2017-10-10T02:44:10.458Z,"23km NNE of Badger, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-10-10T02:44:59.620Z,42.5986667,-111.4108333,4.62,1.280,md,12,55,0.03307,0.11,uu,uu60251912,2017-10-10T16:55:06.220Z,"17km ESE of Soda Springs, Idaho",earthquake,0.35,0.44,0.072,4,reviewed,uu,uu
2017-10-10T02:45:37.050Z,45.3206667,-121.6861667,6.84,2.750,ml,25,45,0.02276,0.16,uw,uw61339596,2017-10-11T02:48:18.819Z,"23km E of Mount Hood Village, Oregon",earthquake,0.24,0.23,0.188,23,reviewed,uw,uw
2017-10-10T02:46:35.305Z,39.5987,-120.4227,2.9,0.300,ml,12,137.12,0.155,0.13,nn,nn00608709,2017-10-10T15:14:50.004Z,"23km S of Portola, California",earthquake,,10.6,0.46,3,reviewed,nn,nn
2017-10-10T02:53:13.190Z,46.2006667,-122.1898333,3.8,0.330,ml,8,127,0.001138,0.12,uw,uw61339601,2017-10-10T04:51:20.690Z,"37km NNE of Amboy, Washington",earthquake,0.6,0.84,0.039,5,reviewed,uw,uw
2017-10-10T03:08:00.690Z,33.5123333,-116.7935,5.09,0.920,ml,41,36,0.005723,0.17,ci,ci38022264,2017-10-10T13:41:51.620Z,"10km NE of Aguanga, CA",earthquake,0.19,0.66,0.139,25,reviewed,ci,ci
2017-10-10T03:16:39.480Z,38.4133333,-122.6188333,5.88,2.920,md,103,33,0.03024,0.11,nc,nc72906831,2017-10-11T03:18:03.047Z,"6km W of Kenwood, California",earthquake,0.1,0.19,0.155,93,reviewed,nc,nc
2017-10-10T03:23:34.202Z,60.1517,-153.0526,123.9,2.300,ml,,,,0.88,ak,ak17002309,2017-10-10T03:38:23.465Z,"40km SSW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T03:25:19.530Z,44.772,-111.0741667,10.03,0.690,md,13,127,0.03338,0.15,uu,uu60251917,2017-10-10T14:28:26.520Z,"12km N of West Yellowstone, Montana",earthquake,0.44,0.79,0.372,9,reviewed,uu,uu
2017-10-10T03:28:56.730Z,45.3036667,-121.679,7.16,0.680,ml,6,177,0.02717,0.14,uw,uw61339661,2017-10-10T05:24:41.460Z,"24km ESE of Mount Hood Village, Oregon",earthquake,0.96,0.63,0.189,6,reviewed,uw,uw
2017-10-10T03:35:02.720Z,42.6553333,-111.4453333,2.24,1.530,md,19,75,0.016,0.1,uu,uu60251922,2017-10-10T17:32:17.070Z,"13km E of Soda Springs, Idaho",earthquake,0.25,0.27,0.094,6,reviewed,uu,uu
2017-10-10T03:45:36.370Z,32.3791667,-115.2395,11.41,2.340,ml,24,121,0.06847,0.3,ci,ci38022272,2017-10-10T14:24:18.758Z,"5km WNW of Delta, B.C., MX",earthquake,0.81,1.06,0.183,39,reviewed,ci,ci
2017-10-10T03:49:22.467Z,63.3067,-150.4578,136.1,1.900,ml,,,,0.69,ak,ak17002318,2017-10-10T03:54:53.852Z,"76km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T03:57:21.660Z,37.5518333,-118.992,2.75,0.260,md,11,255,0.06153,0.04,nc,nc72906841,2017-10-11T01:38:02.782Z,"10km S of Mammoth Lakes, California",earthquake,0.59,0.98,0.153,10,reviewed,nc,nc
2017-10-10T04:08:09.654Z,38.2497,-118.7173,9.1,1.100,ml,20,56.27,0.167,0.1849,nn,nn00608712,2017-10-10T15:21:23.150Z,"31km SSW of Hawthorne, Nevada",earthquake,,2.3,0.3,4,reviewed,nn,nn
2017-10-10T04:11:05.860Z,44.7885,-110.9471667,7.57,1.250,md,14,159,0.05115,0.13,uu,uu60251927,2017-10-10T14:33:05.330Z,"18km NE of West Yellowstone, Montana",earthquake,0.42,0.66,0.106,9,reviewed,uu,uu
2017-10-10T04:13:59.770Z,45.306,-121.6838333,8.32,0.750,ml,6,173,0.02834,0.11,uw,uw61339676,2017-10-10T05:00:56.530Z,"23km ESE of Mount Hood Village, Oregon",earthquake,0.72,0.76,0.143,5,reviewed,uw,uw
2017-10-10T04:19:48.132Z,38.2659,-118.7176,8.1,0.100,ml,4,235.66,0.168,0.0385,nn,nn00608713,2017-10-10T15:24:31.262Z,"29km SSW of Hawthorne, Nevada",earthquake,,8.5,0.21,3,reviewed,nn,nn
2017-10-10T04:29:12.780Z,36.8585,-116.1548,8.3,1.400,ml,11,111.04,0.106,0.1028,nn,nn00608749,2017-10-10T17:15:02.425Z,"54km E of Beatty, Nevada",earthquake,,2.4,0,1,reviewed,nn,nn
2017-10-10T04:41:18.880Z,46.8171667,-121.9521667,9.73,0.520,ml,8,189,0.07559,0.13,uw,uw61339681,2017-10-10T05:20:01.170Z,"24km ESE of Eatonville, Washington",earthquake,0.65,1.06,0.136,5,reviewed,uw,uw
2017-10-10T04:43:13.770Z,61.0274,-152.2795,19.7,0.800,ml,,,,0.31,ak,ak17002614,2017-10-10T04:46:34.868Z,"65km NW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-10T04:56:53.214Z,40.1104,-121.0701,10.4,1.300,ml,8,147.31,0.156,0.2019,nn,nn00608750,2017-10-10T17:24:20.235Z,"10km WSW of Greenville, California",earthquake,,2.4,0.49,2,reviewed,nn,nn
2017-10-10T04:57:02.203Z,62.0725,-151.1078,81.1,1.900,ml,,,,0.53,ak,ak17002617,2017-10-10T05:04:16.252Z,"59km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-10-10T05:27:18.469Z,60.2011,-150.8555,55.3,1.500,ml,,,,0.45,ak,ak17002915,2017-10-10T05:31:12.891Z,"31km SE of Cohoe, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-10-10T05:28:28.300Z,46.862,-112.5238333,10.71,1.270,ml,14,63,0.054,0.19,mb,mb80260384,2017-10-10T14:48:38.750Z,"15km SE of Lincoln, Montana",earthquake,0.6,0.58,0.162,5,reviewed,mb,mb
2017-10-10T05:29:23.720Z,36.9068333,-121.642,9.75,1.070,md,19,73,0.02882,0.08,nc,nc72906856,2017-10-12T00:18:03.386Z,"2km N of Aromas, California",earthquake,0.33,0.61,0.35,15,reviewed,nc,nc
2017-10-10T05:33:39.990Z,46.1011667,-124.1066667,24.89,1.490,ml,13,249,0.1909,0.52,uw,uw61339761,2017-10-10T19:19:59.840Z,"15km WSW of Warrenton, Oregon",earthquake,4.31,3.25,0.169,10,reviewed,uw,uw
2017-10-10T05:37:46.240Z,33.0315,-115.5933333,5.2,1.020,ml,14,57,0.01173,0.18,ci,ci38022328,2017-10-10T14:46:12.756Z,"3km ESE of Westmorland, CA",earthquake,0.35,0.48,0.13,6,reviewed,ci,ci
2017-10-10T05:38:44.987Z,62.0169,-149.8154,39.4,1.600,ml,,,,0.48,ak,ak17002916,2017-10-10T05:43:10.915Z,"16km S of Y, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-10-10T05:45:33.250Z,46.872,-112.5255,10.97,1.250,ml,16,69,0.045,0.16,mb,mb80260389,2017-10-10T14:37:57.310Z,"15km SE of Lincoln, Montana",earthquake,0.56,0.44,0.259,4,reviewed,mb,mb
2017-10-10T05:58:23.450Z,40.3135,-122.0775,7.4,1.470,md,11,129,0.1112,0.06,nc,nc72906861,2017-10-12T05:00:04.082Z,"19km ESE of Cottonwood, California",earthquake,0.55,2.01,0.182,14,reviewed,nc,nc
2017-10-10T06:01:57.980Z,38.838501,-122.8236694,1.27,0.890,md,8,87,0.00923,0.01,nc,nc72906866,2017-10-10T06:35:03.753Z,"8km WNW of Cobb, California",earthquake,0.33,0.57,0.11,3,automatic,nc,nc
2017-10-10T06:08:58.567Z,65.1738,-149.3053,14.5,2.600,ml,,,,0.71,ak,ak17003202,2017-10-10T06:23:57.274Z,"65km ENE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-10T06:16:13.807Z,42.0111,-118.5898,0,2.700,ml,8,168.75,0.424,0.2442,nn,nn00608714,2017-10-12T03:51:26.584Z,"7km NNE of Denio Junction, Nevada",earthquake,,4.1,0.15,7,reviewed,nn,nn
2017-10-10T06:17:28.912Z,63.5174,-150.8005,2.6,1.600,ml,,,,0.61,ak,ak17003209,2017-10-10T06:23:57.466Z,"93km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-10T06:29:57.376Z,61.4002,-146.5637,31.1,1.400,ml,,,,0.24,ak,ak17003223,2017-10-10T06:34:44.284Z,"32km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-10T06:32:20.800Z,-18.5212,-69.6411,82.43,6.300,mww,,27,0.224,1.47,us,us2000b3dm,2017-10-10T20:19:08.180Z,"36km SSW of Putre, Chile",earthquake,5.9,5.2,0.059,28,reviewed,us,us
2017-10-10T06:35:35.600Z,37.5538333,-118.8871667,0.76,0.240,md,7,253,0.0586,0.1,nc,nc72906871,2017-10-11T01:48:02.805Z,"12km SE of Mammoth Lakes, California",earthquake,0.72,7.91,0.202,5,reviewed,nc,nc
2017-10-10T06:43:27.660Z,36.9300003,-118.9840012,2.29,2.700,md,6,228,0.5419,0.3,nc,nc72906876,2017-10-10T07:10:33.527Z,"31km NE of Squaw Valley, California",earthquake,8.85,23.59,0.78,4,automatic,nc,nc
2017-10-10T07:01:05.840Z,37.552,-118.8835,2.39,0.550,md,10,250,0.05752,0.09,nc,nc72906886,2017-10-11T02:00:03.831Z,"13km SE of Mammoth Lakes, California",earthquake,1.37,2.12,0.136,9,reviewed,nc,nc
2017-10-10T07:02:31.990Z,32.5578333,-115.3085,19.88,1.530,ml,19,222,0.1365,0.21,ci,ci38022344,2017-10-10T15:11:12.588Z,"4km E of Puebla, B.C., MX",earthquake,0.9,0.6,0.219,14,reviewed,ci,ci
2017-10-10T07:04:22.195Z,36.9792,-117.5101,0,1.400,ml,19,158.49,0.116,0.1974,nn,nn00608720,2017-10-10T15:37:30.983Z,"64km NE of Lone Pine, California",earthquake,,0,0.38,7,reviewed,nn,nn
2017-10-10T07:16:14.770Z,33.4911667,-116.7871667,4.66,0.420,ml,17,69,0.02384,0.12,ci,ci38022352,2017-10-10T13:36:21.027Z,"9km NE of Aguanga, CA",earthquake,0.23,0.41,0.108,14,reviewed,ci,ci
2017-10-10T07:19:28.035Z,36.935,-117.3523,10.4,0.200,ml,9,186.55,0.062,0.1582,nn,nn00608755,2017-10-10T17:39:56.191Z,"52km W of Beatty, Nevada",earthquake,,1.8,0.98,4,reviewed,nn,nn
2017-10-10T07:35:35.010Z,33.4991667,-116.7946667,4.65,0.320,ml,18,109,0.014,0.07,ci,ci38022360,2017-10-10T13:36:20.027Z,"9km NE of Aguanga, CA",earthquake,0.16,0.26,0.126,9,reviewed,ci,ci
2017-10-10T07:41:08.850Z,33.4971667,-116.7916667,5.6,0.250,ml,22,108,0.01681,0.13,ci,ci38022368,2017-10-10T15:15:29.723Z,"9km NE of Aguanga, CA",earthquake,0.21,0.6,0.083,7,reviewed,ci,ci
2017-10-10T07:49:44.164Z,37.1604,-117.2624,7.6,0.300,ml,10,91.46,0.14,0.236,nn,nn00608757,2017-10-10T17:46:12.286Z,"52km WNW of Beatty, Nevada",earthquake,,3.2,0.94,5,reviewed,nn,nn
2017-10-10T07:57:46.490Z,47.3811667,-122.6251667,22.39,0.460,md,5,177,0.1998,0.03,uw,uw61339796,2017-10-10T17:11:05.540Z,"0km S of Purdy, Washington",earthquake,3.2,0.94,0.025,3,reviewed,uw,uw
2017-10-10T07:59:25.947Z,62.7866,-150.5985,79,1.300,ml,,,,0.4,ak,ak17003829,2017-10-10T17:38:38.069Z,"57km NNW of Talkeetna, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2017-10-10T08:05:18.524Z,59.9409,-139.6624,0,1.500,ml,,,,0.83,ak,ak17003828,2017-10-10T08:10:54.466Z,"44km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-10T08:05:57.360Z,42.6373333,-111.4535,3.81,1.700,ml,5,193,0.006886,0.02,uu,uu60251952,2017-10-10T17:36:30.580Z,"12km E of Soda Springs, Idaho",earthquake,1.48,0.59,0.091,4,reviewed,uu,uu
2017-10-10T08:07:00.910Z,33.9261667,-116.7286667,12.52,0.660,ml,27,63,0.1086,0.11,ci,ci38022376,2017-10-10T13:36:03.910Z,"6km E of Cabazon, CA",earthquake,0.19,0.53,0.13,19,reviewed,ci,ci
2017-10-10T08:15:08.650Z,37.6338333,-118.8895,4.7,0.340,md,16,99,0.01204,0.06,nc,nc72906916,2017-10-11T02:10:03.868Z,"7km ESE of Mammoth Lakes, California",earthquake,0.43,0.53,0.132,14,reviewed,nc,nc
2017-10-10T08:18:41.850Z,33.9771667,-116.2701667,4.62,0.900,ml,16,82,0.09556,0.14,ci,ci38022384,2017-10-10T13:35:51.705Z,"18km SSE of Joshua Tree, CA",earthquake,0.31,0.57,0.16,24,reviewed,ci,ci
2017-10-10T08:25:47.111Z,62.5834,-151.338,6.9,1.400,ml,,,,0.62,ak,ak17003837,2017-10-10T08:32:17.986Z,"69km WNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-10T08:30:52.979Z,37.9669,-118.0837,8.2,2.100,ml,28,40.42,0.426,0.135,nn,nn00608722,2017-10-10T15:47:24.796Z,"70km NNE of Dixon Lane-Meadow Creek, California",earthquake,,3.1,0.21,14,reviewed,nn,nn
2017-10-10T08:34:44.683Z,62.9574,-148.6944,60.8,1.900,ml,,,,0.79,ak,ak17003849,2017-10-10T08:45:37.439Z,"50km SSE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-10T08:35:25.110Z,32.6661667,-115.6666667,9.34,2.440,ml,42,72,0.0531,0.24,ci,ci38022392,2017-10-10T16:38:07.640Z,"12km NW of Progreso, B.C., MX",earthquake,0.29,0.51,0.198,74,reviewed,ci,ci
